
  ///////////////////////////////////////////////////////////////////////////
  | 公司名称:                                                               |
  |                                                                         |
  |                       周期、地震力与振型输出文件                        |
  |                             (总刚分析方法)                              |
  |                          SATWE2010_V5.1.3 中文版                        |
  |                         (2020年5月18日18时13分)                         |
  |                             文件名: WZQ.OUT                             |
  |                                                                         |
  |工程名称 :                     设计人 :              计算日期:2020/10/19 |
  |工程代号 :                     校核人 :              计算时间:10:53:00   |
  ///////////////////////////////////////////////////////////////////////////

    考虑扭转耦联时的振动周期(秒)、X,Y 方向的平动系数、扭转系数

    振型号    周 期      转 角          平动系数 (X+Y)       扭转系数
      1       4.1831     24.15        0.99 ( 0.82+0.16 )      0.01
      2       3.3511    116.39        0.83 ( 0.17+0.66 )      0.17
      3       3.0234    101.31        0.19 ( 0.01+0.18 )      0.81
      4       1.1738     19.70        0.96 ( 0.85+0.11 )      0.04
      5       0.9254    123.42        0.36 ( 0.12+0.24 )      0.64
      6       0.9129    102.07        0.69 ( 0.03+0.66 )      0.31
      7       0.5865     13.04        0.95 ( 0.90+0.05 )      0.05
      8       0.4601     80.76        0.26 ( 0.01+0.25 )      0.74
      9       0.4470    108.98        0.80 ( 0.11+0.70 )      0.20
     10       0.3777      7.42        0.95 ( 0.93+0.03 )      0.05
     11       0.2884     87.32        0.46 ( 0.03+0.44 )      0.54
     12       0.2834      3.71        0.77 ( 0.63+0.14 )      0.23
     13       0.2763    122.09        0.78 ( 0.36+0.43 )      0.22
     14       0.2286      8.54        0.97 ( 0.70+0.28 )      0.03
     15       0.2124    108.37        0.96 ( 0.30+0.67 )      0.04
     16       0.2021    121.68        0.09 ( 0.03+0.05 )      0.91
     17       0.1934     45.81        0.00 ( 0.00+0.00 )      1.00
     18       0.1885     78.72        0.20 ( 0.06+0.14 )      0.80
     19       0.1881     79.02        0.41 ( 0.13+0.28 )      0.59
     20       0.1805      4.05        0.65 ( 0.62+0.04 )      0.35
     21       0.1727    104.42        0.79 ( 0.19+0.60 )      0.21
     22       0.1559    179.32        0.13 ( 0.11+0.01 )      0.87
     23       0.1460      6.93        0.87 ( 0.77+0.09 )      0.13
     24       0.1445    177.21        0.06 ( 0.06+0.00 )      0.94

   地震作用最大的方向 =    21.315 (度)


   ============================================================

    仅考虑 X 向地震作用时的地震力
   Floor : 层号
   Tower : 塔号
   F-x-x : X 方向的耦联地震力在 X 方向的分量
   F-x-y : X 方向的耦联地震力在 Y 方向的分量
   F-x-t : X 方向的耦联地震力的扭矩

   振型   1 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         21.17          9.92          3.76
     53        1         30.78         14.40          5.51
     52        1         67.21         31.08         51.06
     51        1        100.31         48.06        100.79
     50        1        154.98         70.62        192.13
     49        1        144.34         66.09        183.00
     48        1        143.91         65.36        180.26
     47        1        138.74         63.12        179.32
     46        1        138.10         62.31        176.39
     45        1        132.90         60.09        175.16
     44        1        132.02         59.19        171.99
     43        1        126.79         56.97        170.44
     42        1        125.67         56.00        166.98
     41        1        120.41         53.78        165.06
     40        1        119.06         52.73        161.30
     39        1        113.79         50.53        158.98
     38        1        112.23         49.41        154.91
     37        1        106.99         47.25        152.21
     36        1        113.58         49.97        157.28
     35        1        108.82         47.96        154.93
     34        1        106.02         46.40        148.97
     33        1        101.29         44.41        146.21
     32        1         98.39         42.83        140.06
     31        1         93.71         40.86        136.92
     30        1         90.70         39.25        130.63
     29        1         86.06         37.31        127.13
     28        1         82.95         35.68        120.70
     27        1         78.36         33.76        116.86
     26        1         75.18         32.13        110.34
     25        1         70.66         30.24        106.19
     24        1         67.41         28.61         99.62
     23        1         62.97         26.76         95.19
     22        1         59.68         25.13         88.62
     21        1         55.35         23.33         83.95
     20        1         52.03         21.72         77.42
     19        1         47.82         19.98         72.56
     18        1         44.51         18.41         66.13
     17        1         40.44         16.73         61.14
     16        1         37.17         15.22         54.89
     15        1         33.30         13.63         49.86
     14        1         30.12         12.19         43.86
     13        1         26.47         10.70         38.89
     12        1         23.40          9.35         33.25
     11        1         20.01          7.99         28.46
     10        1         17.11          6.76         23.30
      9        1         14.03          5.54         18.87
      8        1         11.37          4.45         14.38
      7        1          8.68          3.41         10.55
      6        1          6.38          2.50          6.99
      5        1          4.20          1.69          4.11
      4        1          4.35          1.88          4.00
      3        1          1.73          1.53         -2.01
      2        1          0.56          0.46         -0.69
      1        1          0.21          0.14         -0.47

   振型   2 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          4.66         -9.98         -8.01
     53        1          6.93        -14.47        -11.49
     52        1         12.07        -31.65       -112.96
     51        1         19.88        -50.43       -211.94
     50        1         36.41        -69.27       -400.15
     49        1         32.34        -65.70       -375.83
     48        1         32.56        -64.50       -366.92
     47        1         31.07        -62.62       -360.36
     46        1         31.21        -61.37       -351.27
     45        1         29.72        -59.48       -344.40
     44        1         29.78        -58.16       -335.09
     43        1         28.30        -56.25       -327.88
     42        1         28.29        -54.88       -318.34
     41        1         26.81        -52.95       -310.78
     40        1         26.73        -51.53       -301.01
     39        1         25.27        -49.60       -293.11
     38        1         25.13        -48.14       -283.13
     37        1         23.69        -46.23       -274.94
     36        1         25.88        -48.66       -281.71
     35        1         24.46        -46.87       -274.50
     34        1         24.12        -45.08       -261.74
     33        1         22.75        -43.31       -254.20
     32        1         22.37        -41.54       -241.55
     31        1         21.04        -39.78       -233.74
     30        1         20.62        -38.01       -221.23
     29        1         19.32        -36.26       -213.16
     28        1         18.87        -34.51       -200.82
     27        1         17.61        -32.77       -192.56
     26        1         17.12        -31.04       -180.49
     25        1         15.91        -29.33       -172.10
     24        1         15.39        -27.62       -160.32
     23        1         14.22        -25.93       -151.84
     22        1         13.67        -24.25       -140.41
     21        1         12.55        -22.60       -131.92
     20        1         11.97        -20.96       -120.90
     19        1         10.91        -19.36       -112.47
     18        1         10.31        -17.78       -101.96
     17        1          9.29        -16.23        -93.69
     16        1          8.68        -14.72        -83.76
     15        1          7.73        -13.25        -75.79
     14        1          7.11        -11.82        -66.56
     13        1          6.23        -10.44        -58.98
     12        1          5.61         -9.11        -50.53
     11        1          4.80         -7.83        -43.47
     10        1          4.19         -6.62        -35.91
      9        1          3.44         -5.47        -29.52
      8        1          2.86         -4.40        -22.99
      7        1          2.20         -3.40        -17.48
      6        1          1.66         -2.50        -12.19
      5        1          1.11         -1.69         -7.86
      4        1          1.18         -1.96         -8.76
      3        1          0.56         -1.50         -6.66
      2        1          0.19         -0.50         -2.48
      1        1          0.07         -0.18         -1.02

   振型   3 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          0.14         -0.98          3.38
     53        1          0.16         -1.42          4.88
     52        1          1.57         -2.68         47.94
     51        1          1.66         -2.73         90.77
     50        1          0.44         -8.33        171.19
     49        1          1.04         -6.96        161.40
     48        1          0.95         -7.28        158.19
     47        1          1.06         -6.67        155.94
     46        1          0.97         -6.96        152.61
     45        1          1.08         -6.36        150.17
     44        1          0.99         -6.63        146.67
     43        1          1.09         -6.04        144.01
     42        1          1.00         -6.28        140.34
     41        1          1.09         -5.71        137.47
     40        1          1.00         -5.93        133.63
     39        1          1.08         -5.37        130.57
     38        1          1.00         -5.56        126.59
     37        1          1.06         -5.03        123.37
     36        1          0.86         -5.52        126.93
     35        1          0.97         -5.05        124.25
     34        1          0.85         -5.14        119.06
     33        1          0.95         -4.69        116.22
     32        1          0.83         -4.76        111.03
     31        1          0.92         -4.33        108.03
     30        1          0.81         -4.38        102.83
     29        1          0.89         -3.97         99.66
     28        1          0.78         -4.01         94.47
     27        1          0.84         -3.62         91.14
     26        1          0.74         -3.63         85.99
     25        1          0.79         -3.26         82.54
     24        1          0.69         -3.26         77.42
     23        1          0.73         -2.91         73.85
     22        1          0.64         -2.90         68.80
     21        1          0.67         -2.57         65.14
     20        1          0.58         -2.53         60.18
     19        1          0.60         -2.23         56.46
     18        1          0.52         -2.18         51.63
     17        1          0.52         -1.90         47.87
