
  ///////////////////////////////////////////////////////////////////////////
  | 公司名称:                                                               |
  |                                                                         |
  |                           SATWE 位移输出文件                            |
  |                          SATWE2010_V5.1.3 中文版                        |
  |                         (2020年5月18日18时13分)                         |
  |                            文件名: WDISP.OUT                            |
  |                                                                         |
  |工程名称 :                     设计人 :              计算日期:2020/10/19 |
  |工程代号 :                     校核人 :              计算时间:11:03:27   |
  ///////////////////////////////////////////////////////////////////////////


  所有位移的单位为毫米

  Floor   : 层号
  Tower   : 塔号
  Jmax    : 最大位移对应的节点号
  JmaxD   : 最大层间位移对应的节点号
  Max-(Z) : 节点的最大竖向位移
  h       : 层高
  Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
  Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
  Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
  Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
  Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
  Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
  Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
  DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
  Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
  X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移


  === 工况  1 === X 方向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
                  JmaxD    Max-Dx      Ave-Dx    Max-Dx/h      DxR/Dx    Ratio_AX
   21      1      6863      19.61       17.06         3300.
                  6863       0.85        0.67       1/3900.     5.2%       1.00
   20      1      6564      18.81       16.46         2900.
                  6564       0.80        0.64       1/3643.    10.4%       0.81
   19      1      6234      18.07       15.89         2900.
                  6234       0.86        0.70       1/3388.     8.7%       0.95
   18      1      5899      17.27       15.27         2900.
                  5899       0.91        0.76       1/3172.     7.1%       0.99
   17      1      5569      16.42       14.58         2900.
                  5569       0.97        0.82       1/2980.     6.8%       0.98
   16      1      5234      15.51       13.84         2900.
                  5234       1.03        0.87       1/2823.     5.3%       0.96
   15      1      4904      14.55       13.05         2900.
                  4904       1.08        0.92       1/2691.     5.1%       0.94
   14      1      4569      13.53       12.19         2900.
                  4569       1.12        0.97       1/2588.     3.7%       0.93
   13      1      4239      12.46       11.29         2900.
                  4239       1.16        1.00       1/2505.     3.5%       0.91
   12      1      3904      11.35       10.34         2900.
                  3904       1.18        1.04       1/2448.     2.1%       0.90
   11      1      3574      10.21        9.35         2900.
                  3574       1.20        1.06       1/2410.     1.4%       0.88
   10      1      3239       9.04        8.33         2900.
                  3239       1.21        1.07       1/2403.     0.3%       0.87
    9      1      2909       7.86        7.29         2900.
                  2909       1.20        1.08       1/2413.     0.4%       0.85
    8      1      2574       6.68        6.24         2900.
                  2574       1.18        1.07       1/2455.     2.3%       0.84
    7      1      2244       5.51        5.19         2900.
                  2244       1.14        1.04       1/2538.     3.7%       0.81
    6      1      1909       4.38        4.15         2900.
                  1909       1.08        1.00       1/2678.     6.7%       0.79
    5      1      1579       3.31        3.16         2900.
                  1579       1.00        0.93       1/2915.    11.4%       0.75
    4      1      1244       2.32        2.23         2900.
                  1244       0.86        0.83       1/3365.    18.1%       0.69
    3      1       927       1.46        1.41         3000.
                   927       0.71        0.70       1/4208.    26.8%       0.63
    2      1       626       0.75        0.71         3000.
                   626       0.52        0.51       1/5765.    64.3%       0.56
    1      1       282       0.23        0.19         3100.
                   282       0.23        0.19       1/9999.    98.9%       0.27
 
   X方向最大层间位移角:               1/2403.(第 10层第 1塔)

  === 工况  2 === X 双向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
                  JmaxD    Max-Dx      Ave-Dx    Max-Dx/h      DxR/Dx    Ratio_AX
   21      1      6863      19.61       17.07         3300.
                  6863       0.85        0.68       1/3898.     5.2%       1.00
   20      1      6564      18.82       16.47         2900.
                  6564       0.80        0.64       1/3642.    10.4%       0.81
   19      1      6234      18.07       15.90         2900.
                  6234       0.86        0.70       1/3387.     8.7%       0.95
   18      1      5899      17.28       15.27         2900.
                  5899       0.91        0.76       1/3171.     7.1%       0.99
   17      1      5569      16.43       14.59         2900.
                  5569       0.97        0.82       1/2979.     6.8%       0.98
   16      1      5234      15.52       13.85         2900.
                  5234       1.03        0.87       1/2822.     5.3%       0.96
   15      1      4904      14.55       13.05         2900.
                  4904       1.08        0.92       1/2690.     5.1%       0.94
   14      1      4569      13.53       12.20         2900.
                  4569       1.12        0.97       1/2587.     3.7%       0.93
   13      1      4239      12.46       11.30         2900.
                  4239       1.16        1.00       1/2505.     3.5%       0.91
   12      1      3904      11.35       10.34         2900.
                  3904       1.19        1.04       1/2447.     2.1%       0.90
   11      1      3574      10.21        9.36         2900.
                  3574       1.20        1.06       1/2409.     1.4%       0.88
   10      1      3239       9.04        8.33         2900.
                  3239       1.21        1.07       1/2402.     0.3%       0.87
    9      1      2909       7.86        7.29         2900.
                  2909       1.20        1.08       1/2412.     0.4%       0.85
    8      1      2574       6.68        6.24         2900.
                  2574       1.18        1.07       1/2455.     2.3%       0.84
    7      1      2244       5.52        5.19         2900.
                  2244       1.14        1.04       1/2538.     3.7%       0.81
    6      1      1909       4.38        4.16         2900.
                  1909       1.08        1.00       1/2677.     6.7%       0.79
    5      1      1579       3.31        3.16         2900.
                  1579       1.00        0.93       1/2914.    11.4%       0.75
    4      1      1244       2.32        2.23         2900.
                  1244       0.86        0.83       1/3364.    18.1%       0.69
    3      1       927       1.46        1.41         3000.
                   927       0.71        0.70       1/4207.    26.8%       0.63
    2      1       626       0.75        0.71         3000.
                   626       0.52        0.51       1/5764.    64.3%       0.56
    1      1       282       0.23        0.19         3100.
                   282       0.23        0.19       1/9999.    98.9%       0.27
 
   X方向最大层间位移角:               1/2402.(第 10层第 1塔)

  === 工况  3 === X+ 偶然偏心地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
                  JmaxD    Max-Dx      Ave-Dx    Max-Dx/h      DxR/Dx    Ratio_AX
   21      1      6863      21.34       17.26         3300.
                  6863       0.93        0.69       1/3540.     3.8%       1.00
   20      1      6564      20.47       16.64         2900.
                  6564       0.88        0.65       1/3294.    10.2%       0.80
   19      1      6234      19.64       16.06         2900.
                  6234       0.94        0.71       1/3070.     8.7%       0.94
   18      1      5899      18.76       15.42         2900.
                  5899       1.01        0.77       1/2880.     6.7%       0.98
   17      1      5569      17.82       14.72         2900.
                  5569       1.07        0.83       1/2711.     6.8%       0.97
   16      1      5234      16.82       13.97         2900.
                  5234       1.13        0.89       1/2573.     4.9%       0.96
   15      1      4904      15.77       13.16         2900.
                  4904       1.18        0.93       1/2458.     5.1%       0.93
   14      1      4569      14.65       12.29         2900.
                  4569       1.22        0.98       1/2368.     3.4%       0.93
   13      1      4239      13.48       11.37         2900.
                  4239       1.26        1.01       1/2296.     3.5%       0.91
   12      1      3904      12.27       10.41         2900.
                  3904       1.29        1.05       1/2247.     1.8%       0.90
   11      1      3574      11.02        9.41         2900.
                  3574       1.31        1.07       1/2215.     1.5%       0.88
   10      1      3239       9.75        8.38         2900.
                  3239       1.31        1.08       1/2212.     0.0%       0.87
    9      1      2909       8.47        7.33         2900.
                  2909       1.30        1.08       1/2224.     0.3%       0.85
    8      1      2574       7.19        6.27         2900.
                  2574       1.28        1.08       1/2266.     2.6%       0.83
    7      1      2244       5.93        5.21         2900.
                  2244       1.24        1.05       1/2346.     3.6%       0.81
    6      1      1909       4.71        4.17         2900.
                  1909       1.17        1.01       1/2479.     6.9%       0.79
    5      1      1579       3.55        3.17         2900.
                  1579       1.07        0.94       1/2702.    11.2%       0.75
    4      1      1244       2.48        2.23         2900.
                  1244       0.93        0.83       1/3131.    18.4%       0.69
    3      1       927       1.55        1.41         3000.
                   927       0.76        0.70       1/3938.    26.2%       0.63
    2      1       626       0.79        0.71         3000.
                   626       0.55        0.51       1/5409.    64.4%       0.56
    1      1       282       0.24        0.18         3100.
                   282       0.24        0.18       1/9999.    98.7%       0.27
 
   X方向最大层间位移角:               1/2212.(第 10层第 1塔)

  === 工况  4 === X- 偶然偏心地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
                  JmaxD    Max-Dx      Ave-Dx    Max-Dx/h      DxR/Dx    Ratio_AX
   21      1      6863      17.88       16.87         3300.
                  6863       0.76        0.66       1/4339.     6.7%       1.00
   20      1      6564      17.16       16.28         2900.
                  6564       0.71        0.62       1/4074.    10.7%       0.82
   19      1      6234      16.50       15.73         2900.
                  6234       0.77        0.69       1/3778.     8.8%       0.95
   18      1      5899      15.78       15.12         2900.
                  5899       0.82        0.75       1/3529.     7.6%       0.99
   17      1      5569      15.02       14.45         2900.
                  5569       0.88        0.81       1/3307.     6.7%       0.98
   16      1      5234      14.20       13.72         2900.
                  5234       0.93        0.86       1/3125.     5.6%       0.96
   15      1      4904      13.33       12.94         2900.
                  4904       0.98        0.91       1/2972.     5.0%       0.94
   14      1      4569      12.41       12.10         2900.
                  4569       1.02        0.95       1/2853.     4.1%       0.93
   13      1      4239      11.44       11.21         2900.
                  4239       1.05        0.99       1/2757.     3.4%       0.91
   12      1      3904      10.43       10.27         2900.
                  3904       1.08        1.03       1/2689.     2.4%       0.90
   11      1      3574       9.39        9.29         2900.
                  3574       1.10        1.05       1/2642.     1.3%       0.88
   10      1      3239       8.32        8.27         2900.
                  3239       1.10        1.06       1/2629.     0.5%       0.87
    9      1      3070       7.26        7.24         2900.
                  2909       1.10        1.07       1/2636.     0.5%       0.85
    8      1      2738       6.25        6.21         2900.
                  2574       1.08        1.06       1/2678.     2.1%       0.84
    7      1      2405       5.24        5.17         2900.
                  2244       1.05        1.04       1/2764.     3.8%       0.81
    6      1      2073       4.22        4.14         2900.
                  2073       1.01        1.00       1/2885.     6.5%       0.79
    5      1      1740       3.23        3.15         2900.
                  1740       0.95        0.93       1/3054.    11.6%       0.75
    4      1      1408       2.29        2.22         2900.
                  1408       0.85        0.82       1/3408.    17.9%       0.69
    3      1      1075       1.44        1.40         3000.
                  1075       0.73        0.70       1/4112.    27.3%       0.63
    2      1       758       0.71        0.71         3000.
                   758       0.53        0.51       1/5667.    64.2%       0.56
    1      1       282       0.21        0.19         3100.
                   282       0.21        0.19       1/9999.    99.0%       0.27
 
   X方向最大层间位移角:               1/2629.(第 10层第 1塔)

  === 工况  5 === Y 方向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(Y)     Ave-(Y)       h
                  JmaxD    Max-Dy      Ave-Dy    Max-Dy/h      DyR/Dy    Ratio_AY
   21      1      6926      15.24       15.02         3300.
                  6926       0.84        0.83       1/3940.     4.1%       1.00
   20      1      6674      14.60       14.25         2900.
                  6674       0.77        0.76       1/3745.     4.0%       0.80
   19      1      6347      13.88       13.54         2900.
                  6347       0.81        0.79       1/3589.     3.8%       0.88
   18      1      6012      13.13       12.81         2900.
                  6012       0.84        0.82       1/3450.     3.3%       0.90
   17      1      5682      12.36       12.05         2900.
                  5682       0.87        0.85       1/3335.     2.7%       0.89
   16      1      5347      11.56       11.27         2900.
                  5347       0.89        0.88       1/3242.     2.1%       0.89
   15      1      5017      10.73       10.46         2900.
                  5017       0.91        0.89       1/3173.     1.5%       0.88
   14      1      4682       9.88        9.63         2900.
                  4682       0.93        0.91       1/3124.     0.9%       0.86
   13      1      4352       9.00        8.78         2900.
                  4352       0.94        0.91       1/3095.     0.2%       0.85
   12      1      4017       8.12        7.92         2900.
                  4017       0.94        0.92       1/3086.     0.5%       0.84
   11      1      3687       7.22        7.04         2900.
                  3687       0.94        0.91       1/3101.     1.4%       0.83
   10      1      3352       6.32        6.16         2900.
                  3352       0.92        0.90       1/3145.     2.2%       0.82
    9      1      3022       5.42        5.29         2900.
                  3022       0.90        0.88       1/3216.     3.4%       0.81
    8      1      2687       4.54        4.43         2900.
                  2687       0.87        0.85       1/3329.     5.1%       0.79
    7      1      2357       3.68        3.60         2900.
                  2357       0.83        0.81       1/3509.     7.3%       0.77
    6      1      2022       2.87        2.80         2900.
                  2022       0.77        0.75       1/3783.    10.8%       0.74
    5      1      1692       2.11        2.06         2900.
                  1692       0.68        0.67       1/4243.    17.3%       0.69
    4      1      1357       1.43        1.39         2900.
                  1357       0.57        0.55       1/5124.    25.2%       0.64
