     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况19 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   54     1    54000011    168.00   167.72         4000
               54000004      2.69     2.68       1/1486     21.89%    1.00
   53     1    53000067    168.82   166.52         4500
               53000067      6.97     3.68       1/ 646     14.93%    0.94
   52     1    52000062    163.45   161.93         4500
               52000053      3.19     3.12       1/1412      0.40%    0.78
   51     1    51000057    160.54   158.96         4500
               51000078      3.18     3.13       1/1417      3.37%    0.80
   50     1    50000069    157.59   155.99         4500
               50000080      3.28     3.24       1/1371      3.72%    0.82
   49     1    49000059    154.56   152.93         4500
               49000070      3.40     3.36       1/1323      3.43%    0.88
   48     1    48000049    151.41   149.77         4500
               48000064      3.52     3.47       1/1279      2.75%    0.89
   47     1    47000069    148.15   146.50         4500
               47000070      3.61     3.57       1/1246      2.31%    0.89
   46     1    46000056    144.79   143.14         4500
               46000064      3.69     3.65       1/1218      1.18%    0.88
   45     1    45000071    141.35   139.69         5100
               45000072      4.24     4.19       1/1202      0.76%    0.86
   44     1    44000073    137.41   135.72         4500
               44000074      3.76     3.73       1/1196      0.71%    0.85
   43     1    43000052    133.89   132.19         4500
               43000060      3.79     3.75       1/1188      1.90%    0.85
   42     1    42000063    130.34   128.61         4500
               42000064      3.85     3.82       1/1168      0.97%    0.86
   41     1    41000052    126.71   124.97         4500
               41000060      3.88     3.86       1/1159      1.39%    0.85
   40     1    40000062    123.03   121.29         4500
               40000083      3.93     3.91       1/1145      1.22%    0.86
   39     1    39000062    119.29   117.54         4500
               39000063      3.97     3.96       1/1133      0.74%    0.85
   38     1    38000072    115.50   113.75         4500
               38000073      4.00     3.99       1/1126      0.32%    0.85
   37     1    37000055    111.67   109.92         4500
               37000055      4.01     4.00       1/1123      0.88%    0.84
   36     1    36000061    107.81   106.07         5100
               36000071      4.58     4.57       1/1113      0.35%    0.84
   35     1    35000062    103.39   101.66         4500
               35000072      4.06     4.05       1/1108      0.58%    0.84
   34     1    34000018     99.47    97.75         4500
               34000018      4.08     4.08       1/1102      0.11%    0.84
   33     1    33000061     95.52    93.82         4500
               33000061      4.09     4.08       1/1101      0.44%    0.84
   32     1    32000020     91.56    89.87         4500
               32000139      4.07     4.06       1/1106      0.83%    0.83
   31     1    31000061     87.61    85.94         4500
               31000071      4.03     4.03       1/1115      1.61%    0.82
   30     1    30000139     83.69    82.03         4500
               30000139      3.97     3.96       1/1134      2.88%    0.81
   29     1    29000072     79.83    78.18         4500
               29000083      3.85     3.85       1/1169      0.95%    0.80
   28     1    28000125     76.07    74.43         4500
               28000014      3.81     3.81       1/1180      0.83%    0.80
   27     1    27000072     72.35    70.71         4500
               27000072      3.78     3.78       1/1189      0.82%    0.81
   26     1    26000014     68.65    67.02         4500
               26000014      3.76     3.75       1/1198      0.83%    0.82
   25     1    25000062     64.97    63.36         4500
               25000062      3.73     3.72       1/1207      0.99%    0.82
   24     1    24000125     61.31    59.72         4500
               24000125      3.70     3.68       1/1217      0.01%    0.82
   23     1    23000064     57.69    56.12         5100
               23000074      4.19     4.17       1/1218      2.01%    0.83
   22     1    22000073     53.57    52.02         4500
               22000063      3.62     3.61       1/1243      1.17%    0.81
   21     1    21000062     50.01    48.48         4500
               21000072      3.58     3.57       1/1257      1.54%    0.81
   20     1    20000132     46.48    44.98         4500
               20000132      3.53     3.51       1/1276      1.88%    0.81
   19     1    19000072     43.01    41.53         4500
               19000062      3.46     3.45       1/1300      2.76%    0.81
   18     1    18000132     39.59    38.14         4500
               18000132      3.37     3.35       1/1335      3.10%    0.80
