
     **********************************************************
                                 ¸÷²ã¸÷ËþµÄ¹æ¶¨Ë®Æ½Á¦
     **********************************************************

  ²ãºÅ   ËþºÅ        XÏò(KN)         YÏò(KN)
   54     1            78.4            97.2
   53     1           913.1          1174.2
   52     1          1149.3          1264.1
   51     1          1253.3          1374.5
   50     1           727.0           756.3
   49     1           622.2           593.8
   48     1           550.8           477.2
   47     1           482.7           388.1
   46     1           456.8           362.1
   45     1           594.0           504.0
   44     1           544.8           508.5
   43     1           474.5           468.2
   42     1           437.9           437.2
   41     1           439.9           429.0
   40     1           415.6           384.5
   39     1           414.3           360.3
   38     1           392.3           322.8
   37     1           393.6           315.1
   36     1           490.6           403.5
   35     1           447.2           392.3
   34     1           366.0           344.3
   33     1           342.1           337.4
   32     1           329.8           331.2
   31     1           310.4           306.0
   30     1           306.0           286.1
   29     1           316.1           275.7
   28     1           316.9           260.8
   27     1           307.6           245.8
   26     1           302.0           244.3
   25     1           285.9           243.2
   24     1           274.9           251.4
   23     1           285.8           282.3
   22     1           331.2           351.2
   21     1           249.5           268.1
   20     1           247.1           256.8
   19     1           234.9           229.5
   18     1           229.9           209.6
   17     1           224.8           194.6
   16     1           213.7           184.2
   15     1           198.3           180.6
   14     1           188.4           191.2
   13     1           179.5           207.5
   12     1           179.4           232.1
   11     1           189.1           263.0
   10     1           248.7           355.8
    9     1           689.7           915.0
    8     1           364.0           456.8
    7     1           261.2           316.5
    6     1           100.4           118.0
    5     1             0.0             0.0
    4     1             0.0             0.0
    3     1             0.0             0.0
    2     1             0.0             0.0
    1     1             0.0             0.0

     **********************************************************
              ¹æ¶¨Ë®Æ½Á¦ÏÂ¿ò¼ÜÖù¡¢¶ÌÖ«Ç½µØÕðÇã¸²Á¦¾Ø
     **********************************************************

  ²ãºÅ   ËþºÅ         ¿ò¼ÜÖù     ¶ÌÖ«Ç½       ÆÕÍ¨Ç½       Ð±³Å       ºÏ¼Æ
   54     1    X       145.8       25.1        146.2        0.0      317.0
   53     1    X      1950.5       25.1       2865.3        0.0     4840.9
   52     1    X      5815.5       25.1       8768.9        0.0    14609.5
   51     1    X     11541.0       25.1      18558.2        0.0    30124.3
   50     1    X     17257.0       25.1      31709.3        0.0    48991.4
   49     1    X     23055.2       25.1      47661.0        0.0    70741.3
   48     1    X     29184.8       25.1      65830.7        0.0    95040.6
   47     1    X     35675.3       25.1      85915.2        0.0   121615.5
   46     1    X     41482.4       25.1     108798.9        0.0   150306.3
   45     1    X     50973.4       25.1     135059.8        0.0   186058.3
   44     1    X     58116.4       25.1     162068.2        0.0   220209.6
   43     1    X     68746.2       25.1     187797.0        0.0   256568.2
   42     1    X     75515.4       25.1     219474.3        0.0   295014.8
   41     1    X     86133.3       25.1     249376.6        0.0   335535.0
   40     1    X     95499.7       25.1     282651.1        0.0   378175.9
   39     1    X    105478.8       25.1     317194.1        0.0   422698.0
   38     1    X    115501.9       25.1     353683.9        0.0   469210.8
   37     1    X    125545.8       25.1     391910.1        0.0   517481.0
   36     1    X    137374.5       25.1     437745.4        0.0   575145.0
   35     1    X    149533.3       25.1     478692.0        0.0   628250.4
   34     1    X    161693.7       25.1     521349.3        0.0   683068.1
   33     1    X    173776.3       25.1     565833.8        0.0   739635.1
   32     1    X    186057.9       25.1     611504.8        0.0   797587.7
   31     1    X    198315.3       25.1     658903.0        0.0   857243.4
   30     1    X    210532.7       25.1     707461.4        0.0   918019.1
   29     1    X    222720.7       25.1     758343.2        0.0   981089.0
   28     1    X    235048.8       25.1     810470.8        0.0  1045544.6
   27     1    X    247388.2       25.1     864247.3        0.0  1111660.5
   26     1    X    259677.4       25.1     919375.2        0.0  1179077.8
   25     1    X    272279.3       25.1     975756.6        0.0  1248061.0
   24     1    X    283696.7       25.1    1034497.0        0.0  1318218.8
   23     1    X    299366.4       25.1    1100248.6        0.0  1399640.1
   22     1    X    312469.3       25.1    1160578.3        0.0  1473072.6
   21     1    X    325952.5       25.1    1221737.0        0.0  1547714.5
   20     1    X    339146.6       25.1    1284085.0        0.0  1623256.6
   19     1    X    352742.0       25.1    1347412.5        0.0  1700179.5
   18     1    X    365087.0       25.1    1412573.1        0.0  1777685.1
   17     1    X    376051.1       25.1    1481234.4        0.0  1857310.5
   16     1    X    387342.6       25.1    1550252.6        0.0  1937620.3
   15     1    X    398508.7       25.1    1620647.1        0.0  2019180.9
   14     1    X    409463.1       25.1    1691772.3        0.0  2101260.5
   13     1    X    420496.2       25.1    1763923.1        0.0  2184444.5
   12     1    X    430904.2       25.1    1837093.4        0.0  2268022.8
   11     1    X    441291.5       25.1    1911572.5        0.0  2352889.0
   10     1    X    458861.8       25.1    2014695.1        0.0  2473582.0
    9     1    X    485586.7       25.1    2105437.3        0.0  2591049.0
    8     1    X    504143.3       25.1    2206137.5        0.0  2710306.0
    7     1    X    522170.3       25.1    2308150.5        0.0  2830345.8
    6     1    X    542005.8       25.1    2405759.3        0.0  2947790.0
    5     1    X    536324.3       25.1    2204863.5        0.0  2741212.8
    4     1    X    538957.3       25.1    2151574.8        0.0  2690557.0
    3     1    X    539240.8       25.1    2141087.3        0.0  2680353.0
    2     1    X    539677.8       25.1    2137120.5        0.0  2676823.3
    1     1    X    539765.7       25.1    2136382.3        0.0  2676173.0

   54     1    Y       129.0       13.8        252.2        0.0      395.1
   53     1    Y      2452.1       13.8       3752.3        0.0     6218.2
   52     1    Y      7227.5       13.8      10609.6        0.0    17850.9
   51     1    Y     16283.7       13.8      19546.1        0.0    35843.6
   50     1    Y     24865.9       13.8      32484.4        0.0    57364.2
   49     1    Y     33762.9       13.8      47900.7        0.0    81677.4
   48     1    Y     42841.7       13.8      65381.4        0.0   108236.9
   47     1    Y     52240.9       13.8      84436.1        0.0   136690.8
   46     1    Y     60953.5       13.8     105888.7        0.0   166856.0
   45     1    Y     73477.3       13.8     130407.0        0.0   203898.2
   44     1    Y     83730.5       13.8     155353.3        0.0   239097.6
   43     1    Y     98798.7       13.8     177689.8        0.0   276502.3
   42     1    Y    108130.0       13.8     207884.2        0.0   316028.0
   41     1    Y    123084.5       13.8     234505.9        0.0   357604.2
   40     1    Y    135729.8       13.8     265485.3        0.0   401229.0
   39     1    Y    149256.3       13.8     297224.3        0.0   446494.5
   38     1    Y    162529.5       13.8     330953.1        0.0   493496.4
   37     1    Y    177157.6       13.8     364735.3        0.0   541906.7
   36     1    Y    192029.0       13.8     407354.0        0.0   599396.9
   35     1    Y    207556.7       13.8     444591.6        0.0   652162.1
   34     1    Y    222893.5       13.8     483633.7        0.0   706541.0
   33     1    Y    238412.0       13.8     524254.2        0.0   762680.1
   32     1    Y    253988.0       13.8     566183.1        0.0   820184.9
   31     1    Y    269635.2       13.8     609795.3        0.0   879444.3
   30     1    Y    285331.3       13.8     654456.8        0.0   939801.9
   29     1    Y    301423.6       13.8     700994.6        0.0  1002432.1
   28     1    Y    317812.0       13.8     748371.1        0.0  1066197.0
   27     1    Y    334097.1       13.8     797249.6        0.0  1131360.5
   26     1    Y    350321.0       13.8     847205.6        0.0  1197540.4
   25     1    Y    366412.2       13.8     898639.1        0.0  1265065.0
   24     1    Y    383412.4       13.8     950143.4        0.0  1333569.5
   23     1    Y    397707.0       13.8    1015194.3        0.0  1412915.0
   22     1    Y    413450.6       13.8    1071166.8        0.0  1484631.1
   21     1    Y    428848.2       13.8    1128726.4        0.0  1557588.4
   20     1    Y    443768.6       13.8    1187631.8        0.0  1631414.1
   19     1    Y    458850.1       13.8    1247722.0        0.0  1706585.9
   18     1    Y    473065.6       13.8    1309198.6        0.0  1782278.0
   17     1    Y    485785.7       13.8    1374125.1        0.0  1859924.6
   16     1    Y    499300.0       13.8    1438722.4        0.0  1938036.3
   15     1    Y    512298.5       13.8    1504954.4        0.0  2017266.6
   14     1    Y    524917.6       13.8    1571997.8        0.0  2096929.1
   13     1    Y    537188.1       13.8    1640530.0        0.0  2177732.0
   12     1    Y    548948.1       13.8    1710102.3        0.0  2259064.3
   11     1    Y    560566.9       13.8    1781311.3        0.0  2341892.0
   10     1    Y    573651.9       13.8    1886077.4        0.0  2459743.0
    9     1    Y    596514.3       13.8    1979187.6        0.0  2575715.8
    8     1    Y    611198.2       13.8    2082652.3        0.0  2693864.3
    7     1    Y    624564.4       13.8    2188594.8        0.0  2813173.0
    6     1    Y    645423.9       13.8    2285154.3        0.0  2930592.0
    5     1    Y    636791.3       13.8    1786440.0        0.0  2423245.0
    4     1    Y    638431.3       13.8    1460374.5        0.0  2098819.5
    3     1    Y    637982.6       13.8    1357553.9        0.0  1995550.3
    2     1    Y    638175.1       13.8    1304298.8        0.0  1942487.8
    1     1    Y    638082.3       13.8    1286643.9        0.0  1924740.0

     **********************************************************
          ¹æ¶¨Ë®Æ½Á¦ÏÂ¿ò¼ÜÖù¡¢¶ÌÖ«Ç½µØÕðÇã¸²Á¦¾Ø°Ù·Ö±È
     **********************************************************

  ²ãºÅ   ËþºÅ           ¿ò¼ÜÖù     ¶ÌÖ«Ç½
   54     1    X          46.0        7.9
   53     1    X          40.3        0.5
   52     1    X          39.8        0.2
   51     1    X          38.3        0.1
   50     1    X          35.2        0.1
   49     1    X          32.6        0.0
   48     1    X          30.7        0.0
   47     1    X          29.3        0.0
   46     1    X          27.6        0.0
   45     1    X          27.4        0.0
   44     1    X          26.4        0.0
   43     1    X          26.8        0.0
   42     1    X          25.6        0.0
   41     1    X          25.7        0.0
   40     1    X          25.3        0.0
   39     1    X          25.0        0.0
   38     1    X          24.6        0.0
   37     1    X          24.3        0.0
   36     1    X          23.9        0.0
   35     1    X          23.8        0.0
   34     1    X          23.7        0.0
   33     1    X          23.5        0.0
   32     1    X          23.3        0.0
   31     1    X          23.1        0.0
   30     1    X          22.9        0.0
   29     1    X          22.7        0.0
   28     1    X          22.5        0.0
   27     1    X          22.3        0.0
   26     1    X          22.0        0.0
   25     1    X          21.8        0.0
   24     1    X          21.5        0.0
   23     1    X          21.4        0.0
   22     1    X          21.2        0.0
   21     1    X          21.1        0.0
   20     1    X          20.9        0.0
   19     1    X          20.7        0.0
   18     1    X          20.5        0.0
   17     1    X          20.2        0.0
   16     1    X          20.0        0.0
   15     1    X          19.7        0.0
   14     1    X          19.5        0.0
   13     1    X          19.2        0.0
