
     **********************************************************
                                 ¸÷²ã¸÷ËþµÄ¹æ¶¨Ë®Æ½Á¦
     **********************************************************

  ²ãºÅ   ËþºÅ        XÏò(KN)         YÏò(KN)
   46     1          1243.2          1233.8
   45     1           505.4           606.3
   44     1          1015.9          1200.4
   43     1           640.6           748.8
   42     1           541.1           613.4
   41     1           489.5           505.0
   40     1           475.4           430.9
   39     1           474.0           390.3
   38     1           465.9           376.1
   37     1           470.9           396.3
   36     1           454.4           403.2
   35     1           436.2           402.2
   34     1           513.3           479.9
   33     1           626.7           580.7
   32     1           581.6           524.3
   31     1           394.1           352.4
   30     1           361.3           323.8
   29     1           346.9           314.4
   28     1           329.9           303.7
   27     1           313.3           291.7
   26     1           300.1           279.7
   25     1           291.8           269.5
   24     1           287.0           262.1
   23     1           347.8           317.5
   22     1           417.1           387.9
   21     1           379.2           358.7
   20     1           262.3           245.7
   19     1           245.8           226.8
   18     1           237.4           218.8
   17     1           224.2           212.3
   16     1           208.5           207.9
   15     1           194.3           205.0
   14     1           184.8           201.8
   13     1           179.8           196.0
   12     1           217.5           230.6
   11     1           168.0           177.0
   10     1           147.5           162.3
    9     1           132.9           163.0
    8     1           125.8           175.9
    7     1           217.7           322.0
    6     1           242.5           346.0
    5     1           188.2           235.8
    4     1           587.9           587.9
    3     1             0.0             0.0
    2     1             0.0             0.0
    1     1             0.0             0.0

     **********************************************************
              ¹æ¶¨Ë®Æ½Á¦ÏÂ¿ò¼ÜÖù¡¢¶ÌÖ«Ç½µØÕðÇã¸²Á¦¾Ø
     **********************************************************

  ²ãºÅ   ËþºÅ         ¿ò¼ÜÖù     ¶ÌÖ«Ç½       ÆÕÍ¨Ç½       Ð±³Å       ºÏ¼Æ
   46     1    X      5293.3        0.0       -645.1        0.0     4648.2
   45     1    X     12428.4        0.0        289.5        0.0    12717.9
   44     1    X     21082.2        0.0       3484.4        0.0    24566.6
   43     1    X     28893.4        0.0      10313.1        0.0    39206.5
   42     1    X     37317.0        0.0      18909.0        0.0    56226.0
   41     1    X     46092.9        0.0      29321.1        0.0    75414.0
   40     1    X     55261.0        0.0      41455.4        0.0    96716.4
   39     1    X     64786.9        0.0      55344.0        0.0   120131.0
   38     1    X     74745.7        0.0      70876.6        0.0   145622.4
   37     1    X     84511.6        0.0      88703.0        0.0   173214.6
   36     1    X     94091.0        0.0     108757.5        0.0   202848.5
   35     1    X    108142.5        0.0     126316.7        0.0   234459.2
   34     1    X    119836.8        0.0     161895.0        0.0   281731.8
   33     1    X    135230.3        0.0     220053.5        0.0   355283.8
   32     1    X    153028.9        0.0     241651.4        0.0   394680.3
   31     1    X    164147.4        0.0     271712.0        0.0   435859.4
   30     1    X    176436.8        0.0     302244.8        0.0   478681.6
   29     1    X    188657.5        0.0     334431.1        0.0   523088.6
   28     1    X    201004.4        0.0     368004.1        0.0   569008.6
   27     1    X    213387.7        0.0     402982.4        0.0   616370.1
   26     1    X    226051.0        0.0     439064.8        0.0   665115.8
   25     1    X    237734.4        0.0     477469.3        0.0   715203.8
   24     1    X    255255.2        0.0     511367.8        0.0   766623.0
   23     1    X    269760.9        0.0     570865.8        0.0   840626.8
   22     1    X    286643.7        0.0     663747.2        0.0   950390.9
   21     1    X    305038.3        0.0     701882.2        0.0  1006920.5
   20     1    X    316290.0        0.0     748372.6        0.0  1064662.5
   19     1    X    328626.5        0.0     794877.8        0.0  1123504.3
   18     1    X    340640.1        0.0     842764.1        0.0  1183404.3
